type,ping,jitter,down,up,time,lat,lon,accuracy
lte, 44, 8, 27.9, 57.8, 08:43:06, 45.3470942, -75.816625, 8
lte, 37, 9, 35.8, 47.5, 08:43:37, 45.3470942, -75.816625, 8
lte, 41, 9, 39.9, 57.3, 08:44:04, 45.3470942, -75.816625, 8
lte, 42, 7, 50.0, 59.8, 08:44:29, 45.3470942, -75.816625, 8
lte, 45, 7, 37.0, 58.6, 08:44:53, 45.3470942, -75.816625, 8
lte, 46, 6, 38.2, 54.4, 08:45:18, 45.3470942, -75.816625, 8
lte, 41, 11, 24.1, 22.8, 08:51:05, 45.3496909, -75.8179249, 71
lte, 41, 8, 27.2, 40.2, 08:53:03, 45.3496909, -75.8179249, 71
lte, 40, 12, 59.4, 41.4, 08:53:29, 45.3496909, -75.8179249, 71
lte, 36, 14, 26.0, 42.3, 08:53:53, 45.3496909, -75.8179249, 71
lte, 36, 10, 28.1, 40.3, 09:00:52, 45.3519261, -75.8126649, 14
lte, 41, 11, 24.4, 40.3, 09:01:18, 45.3519261, -75.8126649, 14
lte, 38, 8, 104.9, 39.6, 09:01:45, 45.3519261, -75.8126649, 14
lte, 39, 10, 33.0, 40.6, 09:02:09, 45.3519261, -75.8126649, 14
lte, 43, 15, 29.0, 33.4, 09:02:37, 45.3519261, -75.8126649, 14
lte, 43, 14, 35.9, 38.8, 09:07:47, 45.3537531, -75.8083931, 14
lte, 47, 12, 28.1, 40.1, 09:08:10, 45.3537531, -75.8083931, 14
lte, 39, 14, 41.9, 35.1, 09:08:36, 45.3537531, -75.8083931, 14
lte, 45, 13, 74.3, 32.8, 09:09:01, 45.3537531, -75.8083931, 14
