mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29050,9391431,45.3453918,-75.8152095,-83,1620302071000,21.4,2.3636618,228.13376,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3452589,-75.8153203,-77,1620302076101,18.1,1.26026,217.60248,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3452441,-75.8153335,-74,1620302081462,18.7,0.88006306,216.843,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3452442,-75.8153765,-78,1620302086785,16.9,0.8177139,248.16757,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3452935,-75.8154857,-74,1620302092146,18.9,0.9768923,298.06833,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3453626,-75.8155651,-82,1620302097474,10.2,1.1368212,324.3161,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3454255,-75.8156143,-80,1620302102783,9.3,1.2695023,328.24698,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3454941,-75.8156739,-82,1620302108668,8.9,1.3590547,328.49405,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3455569,-75.8157236,-82,1620302113868,8.7,1.3912566,329.3344,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3456271,-75.8157734,-84,1620302119766,9.5,1.3915188,331.0582,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3456847,-75.8158181,-85,1620302124984,12.4,1.4100951,332.85916,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.345743,-75.8158739,-86,1620302130326,10.8,1.5388329,328.1643,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3458053,-75.8159148,-87,1620302135629,16.6,1.5099226,333.8691,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3458721,-75.8159651,-89,1620302140920,17.9,1.6367043,326.95154,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3459384,-75.816,-89,1620302146165,19.2,1.4768898,335.62994,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3459954,-75.8160169,-89,1620302153000,18.8,1.2640886,341.7665,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3460514,-75.8160418,-88,1620302158000,8.6,1.3147998,341.30768,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.346114,-75.8160781,-87,1620302161571,7.2,1.3497038,340.9507,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3461862,-75.8160993,-89,1620302167346,8.1,1.3672516,339.97394,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3462532,-75.8161473,-90,1620302172567,12.9,1.4443303,340.1071,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.346334,-75.8162174,-87,1620302178922,17.1,1.4411603,339.42877,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3463938,-75.8162462,-89,1620302184224,16.8,1.4062808,341.73135,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.3464553,-75.816273,-89,1620302189507,13.3,1.3869286,345.57657,LTE+,0,,29050,96,,,
302,720,29050,9391431,45.346525,-75.8162988,-89,1620302194829,7.9,1.3987179,348.28806,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3465866,-75.8163251,-85,1620302200101,9.5,1.397852,345.34583,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3466565,-75.8163441,-91,1620302205423,11.5,1.4035076,345.0824,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3467218,-75.8163768,-91,1620302210627,13.5,1.4489709,344.47946,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3467849,-75.8164375,-91,1620302218000,14.8,1.3993903,341.90115,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3468555,-75.8165123,-89,1620302221872,8.7,1.3593732,337.87222,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3469269,-75.8165389,-90,1620302227587,8.3,1.3818688,338.35196,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3470024,-75.8165682,-89,1620302232870,13.3,1.4411931,338.30392,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3470749,-75.8166214,-89,1620302237906,18.2,1.4670775,335.3718,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3471468,-75.8166695,-93,1620302243206,17.4,1.4488289,334.33447,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.347217,-75.8166977,-94,1620302248488,14.4,1.4172434,338.0503,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3472784,-75.8167322,-91,1620302253721,7.9,1.3920124,339.00717,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3473382,-75.8167611,-97,1620302258984,8.1,1.3398362,341.0302,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3474002,-75.8168007,-93,1620302264169,8.6,1.4766046,342.96475,LTE+,1,,29050,96,,,
302,720,29050,9391431,45.3474662,-75.8168655,-95,1620302269323,15.2,1.6045725,338.84976,LTE+,1,,29050,96,,,
302,720,29050,9391433,45.3475277,-75.8169331,-91,1620302274646,17.1,1.5731492,337.32974,LTE+,1,,29050,112,,,
302,720,29050,9391433,45.3475945,-75.8169638,-94,1620302279908,17.4,1.4130306,342.1304,LTE+,2,,29050,112,,,
