mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
302,720,29100,9438792,45.4217186,-75.7002741,-84,1626533255456,10.4,1.1365532,248.78506,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4216735,-75.7003406,-87,1626533260915,10.9,1.0846771,240.15788,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4216493,-75.7004129,-85,1626533266195,11.8,1.0628421,236.84482,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4216048,-75.7004824,-85,1626533272216,13.7,1.0519468,232.8712,LTE,,,29100,200,,,
302,720,29100,9438792,45.4215519,-75.7005218,-84,1626533278140,12.6,1.022773,227.63193,LTE,,,29100,200,,,
302,720,29100,9438792,45.4215184,-75.7006253,-86,1626533284175,12.9,1.125638,230.8921,LTE,,,29100,200,,,
302,720,29100,9438792,45.4214913,-75.7007452,-84,1626533289856,13.0,1.0797106,240.70486,LTE,,,29100,200,,,
302,720,29100,9438792,45.4214416,-75.7008427,-86,1626533298000,12.4,0.75519496,235.23901,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4214076,-75.7008503,-86,1626533302618,10.1,0.40541473,182.37883,LTE,1,,29100,200,,,
302,720,29100,9438792,45.421386,-75.7008557,-86,1626533308243,13.2,0.4116862,182.7663,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4213909,-75.7008886,-86,1626533544002,18.3,0.0,0.0,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4214492,-75.7009442,-84,1626533549162,89.9,0.9941454,326.2007,LTE,0,,29100,200,,,
302,720,29100,9438792,45.4214087,-75.7009674,-86,1626533554187,45.7,0.41426867,275.156,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4213207,-75.7010119,-83,1626533559928,15.0,0.8675581,234.31384,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4212931,-75.7010618,-84,1626533565076,15.3,0.8799056,232.20428,LTE,,,29100,200,,,
302,720,29100,9438792,45.4212756,-75.701128,-81,1626533570570,11.8,0.92800075,229.32889,LTE,1,,29100,200,,,
302,720,29100,9438792,45.4212443,-75.7011648,-85,1626533575000,12.3,0.9186702,227.28517,LTE,1,,29100,200,,,
302,720,29100,9438792,45.421205,-75.7012274,-86,1626533581494,12.8,0.90070224,227.5321,LTE,,,29100,200,,,
302,720,29100,9438792,45.4211575,-75.7013234,-84,1626533588413,12.2,1.03952,227.22784,LTE,,,29100,200,,,
302,720,29100,9438792,45.4211387,-75.7013509,-85,1626533593676,10.9,0.5728775,229.64302,LTE,1,,29100,200,,,
